Node,X,Y,Z,Magnitude,Theta,Radius,Alpha
165.0,-14.19662638569004,-8.408674375524198,30.0,1.5000000000000002,120.63829661314622,15.000000166317209,
166.0,-14.726560337163576,-7.441667191726375,30.0,1.4999999999999998,116.80851204641647,14.999999695652606,
167.0,-15.19072343018002,-6.441423162355235,30.0,1.5,112.9787233880742,15.000000323901412,
168.0,-15.084144369932527,-5.237785882210637,30.0,0.9676489687392175,109.14893659651756,14.999999960293893,
169.0,-15.366075338444524,-4.209202909754822,30.0,0.9321584990309305,105.31914896775558,14.999999560762522,
170.0,-15.484987005327588,-3.1474622380382784,30.0,0.8016244941011577,101.48936195721265,15.000000140569837,
171.0,-15.563243018813788,-2.0930525246469927,30.0,0.7033564246108637,97.6595743257273,14.99999997246512,
172.0,-15.63665225102263,-1.0467506759378784,30.0,0.6716490247253804,93.82978711640962,14.999999918413549,
173.0,-15.715747812710799,9.62312012752165e-16,30.0,0.7157478127107996,90.0,14.999999999999998,
174.0,-15.687017777491613,1.0501222511337112,30.0,0.7221272752477481,86.17021288359035,14.999999918413549,
175.0,-15.54593124101113,2.090724317075335,30.0,0.6858887916520091,82.3404256742727,14.99999997246512,
176.0,-15.338471575309766,3.117681665209102,30.0,0.6521131107507886,78.51063804278738,15.000000140569837,
177.0,-15.072415588714497,4.128761193453398,30.0,0.6276803908966657,74.68085103224439,14.999999560762522,
178.0,-14.747488209797556,5.120886120482749,30.0,0.6112742720380333,70.85106340348244,14.999999960293893,
179.0,-14.275191772152725,6.053204203923668,30.0,0.505559365001662,67.02127661192583,15.000000323901414,
180.0,-13.936527573491356,7.042445597327855,30.0,0.6148278985927844,63.19148795358353,14.999999695652606,
181.0,-13.49746252185873,7.994559000056068,30.0,0.6873982201061588,59.36170338685372,15.000000166317209,
182.0,-12.928413158092074,8.874852784999979,30.0,0.6814179144897432,55.53191629394405,15.000000348593163,
183.0,-12.290392857509495,9.705626462824778,30.0,0.6605536002490657,51.70212739231374,15.0000000817829,
184.0,-11.604556129148348,10.495701863482838,30.0,0.6468997186256529,47.8723391957941,15.000000311785215,
185.0,-10.861803626270104,11.231022845596195,30.0,0.6241691059794572,44.04255194061375,14.999999741481135,
186.0,-10.096936822734236,11.942712361715616,30.0,0.6389425326854343,40.21276690707293,14.999999623258537,
187.0,-9.321461681548925,12.65118952940666,30.0,0.7143958896555183,36.38297972831572,15.000000197676428,
188.0,-8.499750784780334,13.314641970976616,30.0,0.7963745825710097,32.55319280307566,15.00000013502372,
189.0,-7.630045749099152,13.923059009677543,30.0,0.8766860948796682,28.72340402236216,15.00000028233107,
