Node,X,Y,Z,Imperfection
377.0,14.966503100000002,1.0018894700000025,26.0,0.0
378.0,14.866162300000001,1.9993042900000024,26.0,0.0
379.0,14.699425700000003,2.9877898700000025,26.0,0.0
380.0,14.467037200000002,3.9629309200000025,26.0,0.0
381.0,14.170036300000001,4.920372960000003,26.0,0.0
382.0,13.809748600000002,5.8558392500000025,26.0,0.0
383.0,13.387782100000003,6.765151980000002,26.0,0.0
384.0,12.906024000000002,7.644249440000003,26.0,0.0
385.0,12.366623900000002,8.489206310000002,26.0,0.0
386.0,11.771990800000001,9.296248440000001,26.0,0.0
387.0,11.124781600000002,10.061771400000001,26.0,0.0
388.0,10.427886000000003,10.782355300000003,26.0,0.0
389.0,9.684417720000003,11.454782500000002,26.0,0.0
390.0,8.897696500000002,12.076050800000003,26.0,0.0
391.0,8.071235660000001,12.643384000000001,26.0,0.0
392.0,7.208726410000001,13.154249200000002,26.0,0.0
393.0,6.314021590000001,13.606363300000002,26.0,0.0
394.0,5.391116620000001,13.997709300000002,26.0,0.0
395.0,4.444133760000001,14.326537100000001,26.0,0.0
396.0,3.4773023100000007,14.591380100000002,26.0,0.0
397.0,2.4949402800000007,14.791053800000002,26.0,0.0
398.0,1.5014354000000008,14.924667400000002,26.0,0.0
399.0,0.5012246370000006,14.991623900000002,26.0,0.0
400.0,-0.5012246369999993,14.991623900000002,26.0,0.0
401.0,-1.5014353999999994,14.924667400000002,26.0,0.0
402.0,-2.494940279999999,14.791053800000002,26.0,0.0
403.0,-3.477302309999999,14.591380100000002,26.0,0.0
404.0,-4.444133759999999,14.326537100000001,26.0,0.0
405.0,-5.391116619999999,13.997709300000002,26.0,0.0
406.0,-6.314021589999999,13.606363300000002,26.0,0.0
407.0,-7.208726409999999,13.154249200000002,26.0,0.0
408.0,-8.071235659999997,12.643384000000001,26.0,0.0
409.0,-8.897696499999999,12.076050800000003,26.0,0.0
410.0,-9.684417719999999,11.454782500000002,26.0,0.0
411.0,-10.427885999999999,10.782355300000003,26.0,0.0
412.0,-11.124781599999999,10.061771400000001,26.0,0.0
413.0,-11.771990799999998,9.29624844,26.0,0.0
414.0,-12.366623899999999,8.48920631,26.0,0.0
415.0,-12.906023999999999,7.644249440000001,26.0,0.0
416.0,-13.387782099999999,6.765151980000001,26.0,0.0
417.0,-13.809748599999999,5.855839250000001,26.0,0.0
418.0,-14.170036299999998,4.920372960000001,26.0,0.0
419.0,-14.467037199999998,3.9629309200000007,26.0,0.0
420.0,-14.699425699999999,2.9877898700000007,26.0,0.0
421.0,-14.866162299999997,1.9993042900000007,26.0,0.0
422.0,-14.966503099999999,1.0018894700000007,26.0,0.0
423.0,-14.999999999999998,6.735557395310441e-16,26.0,0.0
424.0,-14.966503099999999,-1.0018894699999994,26.0,0.0
425.0,-14.866162299999997,-1.9993042899999993,26.0,0.0
426.0,-14.699425699999999,-2.987789869999999,26.0,0.0
427.0,-14.467037199999998,-3.962930919999999,26.0,0.0
428.0,-14.170036299999998,-4.920372959999999,26.0,0.0
429.0,-13.809748599999999,-5.855839249999999,26.0,0.0
430.0,-13.387782099999999,-6.765151979999999,26.0,0.0
431.0,-12.906023999999999,-7.644249439999999,26.0,0.0
432.0,-12.366623899999999,-8.48920631,26.0,0.0
433.0,-11.771990799999998,-9.29624844,26.0,0.0
434.0,-11.124781599999999,-10.061771399999998,26.0,0.0
435.0,-10.427885999999999,-10.782355299999999,26.0,0.0
436.0,-9.684417719999999,-11.454782499999999,26.0,0.0
437.0,-8.897696499999999,-12.076050799999999,26.0,0.0
438.0,-8.071235659999997,-12.643383999999998,26.0,0.0
439.0,-7.208726409999997,-13.154249199999999,26.0,0.0
440.0,-6.314021589999998,-13.606363299999998,26.0,0.0
441.0,-5.391116619999997,-13.997709299999999,26.0,0.0
442.0,-4.444133759999997,-14.326537099999998,26.0,0.0
443.0,-3.477302309999997,-14.591380099999999,26.0,0.0
444.0,-2.494940279999997,-14.791053799999998,26.0,0.0
445.0,-1.5014353999999976,-14.924667399999999,26.0,0.0
446.0,-0.5012246369999975,-14.991623899999999,26.0,0.0
447.0,0.5012246370000024,-14.991623899999999,26.0,0.0
448.0,1.5014354000000025,-14.924667399999999,26.0,0.0
449.0,2.4949402800000025,-14.791053799999998,26.0,0.0
450.0,3.4773023100000024,-14.591380099999999,26.0,0.0
451.0,4.444133760000002,-14.326537099999998,26.0,0.0
452.0,5.391116620000003,-13.997709299999999,26.0,0.0
453.0,6.314021590000003,-13.606363299999998,26.0,0.0
454.0,7.208726410000002,-13.154249199999999,26.0,0.0
455.0,8.071235660000001,-12.643383999999998,26.0,0.0
456.0,8.897696500000002,-12.076050799999999,26.0,0.0
457.0,9.684417720000003,-11.454782499999999,26.0,0.0
458.0,10.427886000000003,-10.782355299999999,26.0,0.0
459.0,11.124781600000002,-10.061771399999998,26.0,0.0
460.0,11.771990800000001,-9.296248439999998,26.0,0.0
461.0,12.366623900000002,-8.489206309999998,26.0,0.0
462.0,12.906024000000002,-7.644249439999998,26.0,0.0
